Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2021-05-21,ADANIENT,EQ,1302.0,1320.0,1336.0,1300.05,1312.95,1315.1,1315.58,8314215,1093801970585000.0,108506,2665753,0.32060000000000005
2021-05-24,ADANIENT,EQ,1315.1,1321.7,1328.65,1303.0,1305.0,1306.8,1317.75,7913411,1042787254690000.0,73375,3209036,0.40549999999999997
2021-05-25,ADANIENT,EQ,1306.8,1314.35,1322.0,1272.9,1287.95,1282.75,1298.84,3697062,480188252439999.94,63487,1278266,0.3458
2021-05-26,ADANIENT,EQ,1282.75,1288.95,1326.85,1254.25,1321.95,1322.8,1302.43,5630730,733362387320000.0,101921,830748,0.1475
2021-05-27,ADANIENT,EQ,1322.8,1329.5,1342.0,1304.25,1312.5,1325.8,1327.15,36690935,4869424313570000.0,148251,21111378,0.5754
2021-05-28,ADANIENT,EQ,1325.8,1311.6,1330.45,1298.0,1302.0,1302.6,1311.65,2979585,390817381085000.0,58720,592748,0.19890000000000002
2021-05-31,ADANIENT,EQ,1302.6,1307.05,1321.5,1292.0,1316.45,1316.3,1306.27,2709718,353961408875000.0,55331,639501,0.23600000000000002
2021-06-01,ADANIENT,EQ,1316.3,1319.9,1430.0,1309.05,1422.95,1416.25,1375.69,10018645,1378250158055000.0,226280,1308601,0.1306
2021-06-02,ADANIENT,EQ,1416.25,1425.55,1557.0,1413.0,1551.3,1546.75,1506.78,24541949,3697934860100000.0,519240,1839343,0.07490000000000001
2021-06-03,ADANIENT,EQ,1546.75,1564.0,1623.8,1553.0,1592.4,1583.1,1594.1,19107244,3045889427235000.0,433658,1019716,0.0534
2021-06-04,ADANIENT,EQ,1583.1,1605.0,1713.55,1585.8,1706.0,1700.95,1658.36,21102075,3499481007905000.5,462330,1248142,0.0591
2021-06-07,ADANIENT,EQ,1700.95,1715.0,1717.2,1613.0,1625.0,1624.3,1654.64,15350263,2539918822690000.0,352456,2175944,0.1418
2021-06-08,ADANIENT,EQ,1624.3,1633.0,1668.0,1602.45,1633.0,1636.45,1633.09,12410257,2026704363475000.0,269336,1232732,0.0993
